text,emotion_names,emotions_emojis,true_explanations
"Mein old memories yaad aayi ke baare mein soch raha tha, is liye jazbaat mein aana mehsoos hui. Mein mujhe promotion mil gaya ke baare mein soch raha tha, is liye khushi mehsoos hui.","['jazbaat mein aana', 'khushi']","jazbaat mein aana 🥺, khushi 😊","{'jazbaat mein aana': 'kyunke old memories yaad aayi', 'khushi': 'kyunke mujhe promotion mil gaya'}"
"Aaj mein emotional gana suna, is liye mein jazbaat mein aana mehsoos kar raha hoon. Aaj mein meri dost se mulaqat hui, is liye mein khushi mehsoos kar raha hoon.","['jazbaat mein aana', 'khushi']","jazbaat mein aana 🥺, khushi 😊","{'jazbaat mein aana': 'kyunke emotional gana suna', 'khushi': 'kyunke meri dost se mulaqat hui'}"
"Mujhe lagta hai ke ghar ki yaad aayi, aur is wajah se udaasi ho rahi hai.",['udaasi'],udaasi 😞,{'udaasi': 'kyunke ghar ki yaad aayi'}
"jazbaat mein aana tab mehsoos hui jab old memories yaad aayi. Aaj mein raat bhar kuch ajeeb sapne aaye, is liye mein bechaini mehsoos kar raha hoon.","['jazbaat mein aana', 'bechaini']","jazbaat mein aana 🥺, bechaini 😟","{'jazbaat mein aana': 'kyunke old memories yaad aayi', 'bechaini': 'kyunke raat bhar kuch ajeeb sapne aaye'}"
Pehli baar dost achanak mil gaya aur uss lamhe mein mujhe hairani mehsoos hui. Pehli baar pet mar gaya aur uss lamhe mein mujhe gham mehsoos hui.,"['hairani', 'gham']","hairani 😮, gham 😢","{'hairani': 'kyunke dost achanak mil gaya', 'gham': 'kyunke pet mar gaya'}"
gussa ka sabab yeh tha ke koi baar baar tang kar raha tha.,['gussa'],gussa 😠,{'gussa': 'kyunke koi baar baar tang kar raha tha'}
"Mein mera phone kho gaya ke baare mein soch raha tha, is liye gham mehsoos hui.",['gham'],gham 😢,{'gham': 'kyunke mera phone kho gaya'}
gham tab mehsoos hui jab best friend ne city chhor di. news bohat different thi ke baad mera dil hairani se bhar gaya.,"['gham', 'hairani']","gham 😢, hairani 😮","{'gham': 'kyunke best friend ne city chhor di', 'hairani': 'kyunke news bohat different thi'}"
"Kal paper mushkil tha tha, aur mujhe ghabrahat ka ehsaas hua.",['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke paper mushkil tha'}
"umeed tab mehsoos hui jab hardwork ka phal milne wala hai. Aaj mein traffic bohat tha, is liye mein gussa mehsoos kar raha hoon.","['umeed', 'gussa']","umeed 🌈, gussa 😠","{'umeed': 'kyunke hardwork ka phal milne wala hai', 'gussa': 'kyunke traffic bohat tha'}"
"Mein result ka intezar tha ke baare mein soch raha tha, is liye ghabrahat mehsoos hui.",['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke result ka intezar tha'}
"Jab se traffic bohat tha, mein gussa mehsoos kar raha hoon. Pehli baar yaadein satane lagi aur uss lamhe mein mujhe udaasi mehsoos hui.","['gussa', 'udaasi']","gussa 😠, udaasi 😞","{'gussa': 'kyunke traffic bohat tha', 'udaasi': 'kyunke yaadein satane lagi'}"
"Aaj mein presentation deni thi, is liye mein ghabrahat mehsoos kar raha hoon.",['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke presentation deni thi'}
Waqt guzarta gaya aur news bohat different thi ki wajah se hairani badhti gayi.,['hairani'],hairani 😮,{'hairani': 'kyunke news bohat different thi'}
"Mein dost achanak mil gaya ke baare mein soch raha tha, is liye hairani mehsoos hui. Kal mujhe promotion mil gaya tha, aur mujhe khushi ka ehsaas hua.","['hairani', 'khushi']","hairani 😮, khushi 😊","{'hairani': 'kyunke dost achanak mil gaya', 'khushi': 'kyunke mujhe promotion mil gaya'}"
Waqt guzarta gaya aur best friend ne city chhor di ki wajah se gham badhti gayi.,['gham'],gham 😢,{'gham': 'kyunke best friend ne city chhor di'}
"Mein akela mehsoos kar raha tha ke baare mein soch raha tha, is liye udaasi mehsoos hui. Mujhe lagta hai ke woh har baat samajh leti hai, aur is wajah se mohabbat ho rahi hai.","['udaasi', 'mohabbat']","udaasi 😞, mohabbat ❤️","{'udaasi': 'kyunke akela mehsoos kar raha tha', 'mohabbat': 'kyunke woh har baat samajh leti hai'}"
"Kal ghar ki yaad aayi tha, aur mujhe udaasi ka ehsaas hua.",['udaasi'],udaasi 😞,{'udaasi': 'kyunke ghar ki yaad aayi'}
"Kal woh muskurayi tha, aur mujhe mohabbat ka ehsaas hua. jazbaat mein aana ka sabab yeh tha ke old memories yaad aayi.","['mohabbat', 'jazbaat mein aana']","mohabbat ❤️, jazbaat mein aana 🥺","{'mohabbat': 'kyunke woh muskurayi', 'jazbaat mein aana': 'kyunke old memories yaad aayi'}"
gham ka sabab yeh tha ke pet mar gaya.,['gham'],gham 😢,{'gham': 'kyunke pet mar gaya'}
khushi tab mehsoos hui jab birthday par sab ne wish kiya.,['khushi'],khushi 😊,{'khushi': 'kyunke birthday par sab ne wish kiya'}
khushi ka sabab yeh tha ke mujhe promotion mil gaya.,['khushi'],khushi 😊,{'khushi': 'kyunke mujhe promotion mil gaya'}
"Aaj mein kisi ne bura kaha, is liye mein gham mehsoos kar raha hoon.",['gham'],gham 😢,{'gham': 'kyunke kisi ne bura kaha'}
bechaini ka sabab yeh tha ke kisi ka reply nahi aaya.,['bechaini'],bechaini 😟,{'bechaini': 'kyunke kisi ka reply nahi aaya'}
"Mujhe lagta hai ke mera result acha aaya, aur is wajah se khushi ho rahi hai.",['khushi'],khushi 😊,{'khushi': 'kyunke mera result acha aaya'}
umeed tab mehsoos hui jab hardwork ka phal milne wala hai.,['umeed'],umeed 🌈,{'umeed': 'kyunke hardwork ka phal milne wala hai'}
"Aaj mein kisi apne ne dhoka diya, is liye mein gham mehsoos kar raha hoon.",['gham'],gham 😢,{'gham': 'kyunke kisi apne ne dhoka diya'}
"Mein interview cancel hogaya ke baare mein soch raha tha, is liye bechaini mehsoos hui. Waqt guzarta gaya aur naye logon se milna tha ki wajah se ghabrahat badhti gayi.","['bechaini', 'ghabrahat']","bechaini 😟, ghabrahat 😰","{'bechaini': 'kyunke interview cancel hogaya', 'ghabrahat': 'kyunke naye logon se milna tha'}"
"Kal uski aankhon mein kuch baat thi tha, aur mujhe mohabbat ka ehsaas hua.",['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke uski aankhon mein kuch baat thi'}
"Mujhe lagta hai ke family surprise party di, aur is wajah se khushi ho rahi hai. Waqt guzarta gaya aur naye moka mila ki wajah se umeed badhti gayi.","['khushi', 'umeed']","khushi 😊, umeed 🌈","{'khushi': 'kyunke family surprise party di', 'umeed': 'kyunke naye moka mila'}"
"ghabrahat ka sabab yeh tha ke interview tha. Kal woh muskurayi tha, aur mujhe mohabbat ka ehsaas hua.","['ghabrahat', 'mohabbat']","ghabrahat 😰, mohabbat ❤️","{'ghabrahat': 'kyunke interview tha', 'mohabbat': 'kyunke woh muskurayi'}"
unexpected result aaya ke baad mera dil hairani se bhar gaya.,['hairani'],hairani 😮,{'hairani': 'kyunke unexpected result aaya'}
family surprise party di ke baad mera dil khushi se bhar gaya.,['khushi'],khushi 😊,{'khushi': 'kyunke family surprise party di'}
"Jab se naye logon se milna tha, mein ghabrahat mehsoos kar raha hoon. Waqt guzarta gaya aur unexpected result aaya ki wajah se hairani badhti gayi.","['ghabrahat', 'hairani']","ghabrahat 😰, hairani 😮","{'ghabrahat': 'kyunke naye logon se milna tha', 'hairani': 'kyunke unexpected result aaya'}"
jazbaat mein aana tab mehsoos hui jab film emotional thi. mohabbat tab mehsoos hui jab uski aankhon mein kuch baat thi.,"['jazbaat mein aana', 'mohabbat']","jazbaat mein aana 🥺, mohabbat ❤️","{'jazbaat mein aana': 'kyunke film emotional thi', 'mohabbat': 'kyunke uski aankhon mein kuch baat thi'}"
Pehli baar kisi ne unfair treat kiya aur uss lamhe mein mujhe gussa mehsoos hui.,['gussa'],gussa 😠,{'gussa': 'kyunke kisi ne unfair treat kiya'}
"Waqt guzarta gaya aur kisi ne dil se baat ki ki wajah se jazbaat mein aana badhti gayi. Mujhe lagta hai ke presentation deni thi, aur is wajah se ghabrahat ho rahi hai.","['jazbaat mein aana', 'ghabrahat']","jazbaat mein aana 🥺, ghabrahat 😰","{'jazbaat mein aana': 'kyunke kisi ne dil se baat ki', 'ghabrahat': 'kyunke presentation deni thi'}"
raat bhar kuch ajeeb sapne aaye ke baad mera dil bechaini se bhar gaya.,['bechaini'],bechaini 😟,{'bechaini': 'kyunke raat bhar kuch ajeeb sapne aaye'}
Pehli baar traffic bohat tha aur uss lamhe mein mujhe gussa mehsoos hui.,['gussa'],gussa 😠,{'gussa': 'kyunke traffic bohat tha'}
"Jab se raat bhar kuch ajeeb sapne aaye, mein bechaini mehsoos kar raha hoon.",['bechaini'],bechaini 😟,{'bechaini': 'kyunke raat bhar kuch ajeeb sapne aaye'}
"Aaj mein kisi apne ne dhoka diya, is liye mein gham mehsoos kar raha hoon. khushi ka sabab yeh tha ke birthday par sab ne wish kiya.","['gham', 'khushi']","gham 😢, khushi 😊","{'gham': 'kyunke kisi apne ne dhoka diya', 'khushi': 'kyunke birthday par sab ne wish kiya'}"
hairani tab mehsoos hui jab mera naam announce hua.,['hairani'],hairani 😮,{'hairani': 'kyunke mera naam announce hua'}
"Kal emotional gana suna tha, aur mujhe jazbaat mein aana ka ehsaas hua.",['jazbaat mein aana'],jazbaat mein aana 🥺,{'jazbaat mein aana': 'kyunke emotional gana suna'}
Waqt guzarta gaya aur mera dost mujh se naraz hogaya ki wajah se gham badhti gayi.,['gham'],gham 😢,{'gham': 'kyunke mera dost mujh se naraz hogaya'}
"Pehli baar mera result acha aaya aur uss lamhe mein mujhe khushi mehsoos hui. Mujhe lagta hai ke ghar ki yaad aayi, aur is wajah se udaasi ho rahi hai.","['khushi', 'udaasi']","khushi 😊, udaasi 😞","{'khushi': 'kyunke mera result acha aaya', 'udaasi': 'kyunke ghar ki yaad aayi'}"
umeed ka sabab yeh tha ke naye moka mila.,['umeed'],umeed 🌈,{'umeed': 'kyunke naye moka mila'}
"interview tha ke baad mera dil ghabrahat se bhar gaya. Aaj mein network baar baar ja raha tha, is liye mein gussa mehsoos kar raha hoon.","['ghabrahat', 'gussa']","ghabrahat 😰, gussa 😠","{'ghabrahat': 'kyunke interview tha', 'gussa': 'kyunke network baar baar ja raha tha'}"
"Mein film emotional thi ke baare mein soch raha tha, is liye jazbaat mein aana mehsoos hui. hairani tab mehsoos hui jab kisi ne propose kiya.","['jazbaat mein aana', 'hairani']","jazbaat mein aana 🥺, hairani 😮","{'jazbaat mein aana': 'kyunke film emotional thi', 'hairani': 'kyunke kisi ne propose kiya'}"
"Aaj mein pet mar gaya, is liye mein gham mehsoos kar raha hoon. kisi ne propose kiya ke baad mera dil hairani se bhar gaya.","['gham', 'hairani']","gham 😢, hairani 😮","{'gham': 'kyunke pet mar gaya', 'hairani': 'kyunke kisi ne propose kiya'}"
"Mujhe lagta hai ke result ka intezar tha, aur is wajah se ghabrahat ho rahi hai. hairani ka sabab yeh tha ke kisi ne propose kiya.","['ghabrahat', 'hairani']","ghabrahat 😰, hairani 😮","{'ghabrahat': 'kyunke result ka intezar tha', 'hairani': 'kyunke kisi ne propose kiya'}"
"Mujhe lagta hai ke hardwork ka phal milne wala hai, aur is wajah se umeed ho rahi hai.",['umeed'],umeed 🌈,{'umeed': 'kyunke hardwork ka phal milne wala hai'}
Pehli baar interview tha aur uss lamhe mein mujhe ghabrahat mehsoos hui.,['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke interview tha'}
Waqt guzarta gaya aur kisi ne unfair treat kiya ki wajah se gussa badhti gayi.,['gussa'],gussa 😠,{'gussa': 'kyunke kisi ne unfair treat kiya'}
"Jab se kisi ne ignore kiya, mein udaasi mehsoos kar raha hoon.",['udaasi'],udaasi 😞,{'udaasi': 'kyunke kisi ne ignore kiya'}
Pehli baar ghar ki yaad aayi aur uss lamhe mein mujhe udaasi mehsoos hui.,['udaasi'],udaasi 😞,{'udaasi': 'kyunke ghar ki yaad aayi'}
"Waqt guzarta gaya aur sab theek hojayega ki wajah se umeed badhti gayi. Kal film emotional thi tha, aur mujhe jazbaat mein aana ka ehsaas hua.","['umeed', 'jazbaat mein aana']","umeed 🌈, jazbaat mein aana 🥺","{'umeed': 'kyunke sab theek hojayega', 'jazbaat mein aana': 'kyunke film emotional thi'}"
mera naam announce hua ke baad mera dil hairani se bhar gaya.,['hairani'],hairani 😮,{'hairani': 'kyunke mera naam announce hua'}
umeed ka sabab yeh tha ke sab theek hojayega.,['umeed'],umeed 🌈,{'umeed': 'kyunke sab theek hojayega'}
"Aaj mein dost achanak mil gaya, is liye mein hairani mehsoos kar raha hoon. Mein kisi ka reply nahi aaya ke baare mein soch raha tha, is liye bechaini mehsoos hui.","['hairani', 'bechaini']","hairani 😮, bechaini 😟","{'hairani': 'kyunke dost achanak mil gaya', 'bechaini': 'kyunke kisi ka reply nahi aaya'}"
mera result acha aaya ke baad mera dil khushi se bhar gaya.,['khushi'],khushi 😊,{'khushi': 'kyunke mera result acha aaya'}
"Mein mera phone kho gaya ke baare mein soch raha tha, is liye gham mehsoos hui.",['gham'],gham 😢,{'gham': 'kyunke mera phone kho gaya'}
"Kal kisi ne dil ki baat boli tha, aur mujhe jazbaat mein aana ka ehsaas hua. Jab se raat bhar neend nahi aayi, mein bechaini mehsoos kar raha hoon.","['jazbaat mein aana', 'bechaini']","jazbaat mein aana 🥺, bechaini 😟","{'jazbaat mein aana': 'kyunke kisi ne dil ki baat boli', 'bechaini': 'kyunke raat bhar neend nahi aayi'}"
"Jab se kisi ne bura kaha, mein gham mehsoos kar raha hoon.",['gham'],gham 😢,{'gham': 'kyunke kisi ne bura kaha'}
"Waqt guzarta gaya aur kisi ne dil ki baat boli ki wajah se jazbaat mein aana badhti gayi. Mein kisi ne bura kaha ke baare mein soch raha tha, is liye gham mehsoos hui.","['jazbaat mein aana', 'gham']","jazbaat mein aana 🥺, gham 😢","{'jazbaat mein aana': 'kyunke kisi ne dil ki baat boli', 'gham': 'kyunke kisi ne bura kaha'}"
network baar baar ja raha tha ke baad mera dil gussa se bhar gaya.,['gussa'],gussa 😠,{'gussa': 'kyunke network baar baar ja raha tha'}
mohabbat ka sabab yeh tha ke kisi ne pyar bhari baat ki.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke kisi ne pyar bhari baat ki'}
Waqt guzarta gaya aur purani diary mili ki wajah se jazbaat mein aana badhti gayi. bechaini ka sabab yeh tha ke mujhe kuch samaj nahi aa raha tha.,"['jazbaat mein aana', 'bechaini']","jazbaat mein aana 🥺, bechaini 😟","{'jazbaat mein aana': 'kyunke purani diary mili', 'bechaini': 'kyunke mujhe kuch samaj nahi aa raha tha'}"
"Mujhe lagta hai ke emotional gana suna, aur is wajah se jazbaat mein aana ho rahi hai.",['jazbaat mein aana'],jazbaat mein aana 🥺,{'jazbaat mein aana': 'kyunke emotional gana suna'}
Waqt guzarta gaya aur mera dost mujh se naraz hogaya ki wajah se gham badhti gayi.,['gham'],gham 😢,{'gham': 'kyunke mera dost mujh se naraz hogaya'}
"Jab se presentation deni thi, mein ghabrahat mehsoos kar raha hoon. Mein sab theek hojayega ke baare mein soch raha tha, is liye umeed mehsoos hui.","['ghabrahat', 'umeed']","ghabrahat 😰, umeed 🌈","{'ghabrahat': 'kyunke presentation deni thi', 'umeed': 'kyunke sab theek hojayega'}"
"Kal dil uski taraf khinchta hai tha, aur mujhe mohabbat ka ehsaas hua. Kal naye moka mila tha, aur mujhe umeed ka ehsaas hua.","['mohabbat', 'umeed']","mohabbat ❤️, umeed 🌈","{'mohabbat': 'kyunke dil uski taraf khinchta hai', 'umeed': 'kyunke naye moka mila'}"
"Mujhe lagta hai ke naye moka mila, aur is wajah se umeed ho rahi hai.",['umeed'],umeed 🌈,{'umeed': 'kyunke naye moka mila'}
"Kal unexpected call aaya tha, aur mujhe ghabrahat ka ehsaas hua.",['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke unexpected call aaya'}
"Kal mujhe kuch samaj nahi aa raha tha tha, aur mujhe bechaini ka ehsaas hua. Waqt guzarta gaya aur birthday par sab ne wish kiya ki wajah se khushi badhti gayi.","['bechaini', 'khushi']","bechaini 😟, khushi 😊","{'bechaini': 'kyunke mujhe kuch samaj nahi aa raha tha', 'khushi': 'kyunke birthday par sab ne wish kiya'}"
Pehli baar dost ne achanak gift diya aur uss lamhe mein mujhe hairani mehsoos hui. ghabrahat tab mehsoos hui jab naye logon se milna tha.,"['hairani', 'ghabrahat']","hairani 😮, ghabrahat 😰","{'hairani': 'kyunke dost ne achanak gift diya', 'ghabrahat': 'kyunke naye logon se milna tha'}"
"Mujhe lagta hai ke raat bhar neend nahi aayi, aur is wajah se bechaini ho rahi hai.",['bechaini'],bechaini 😟,{'bechaini': 'kyunke raat bhar neend nahi aayi'}
"Mujhe lagta hai ke mujhe promotion mil gaya, aur is wajah se khushi ho rahi hai.",['khushi'],khushi 😊,{'khushi': 'kyunke mujhe promotion mil gaya'}
Waqt guzarta gaya aur kisi ne jhoot bola ki wajah se gussa badhti gayi.,['gussa'],gussa 😠,{'gussa': 'kyunke kisi ne jhoot bola'}
"umeed tab mehsoos hui jab hardwork ka phal milne wala hai. Aaj mein koi baar baar tang kar raha tha, is liye mein gussa mehsoos kar raha hoon.","['umeed', 'gussa']","umeed 🌈, gussa 😠","{'umeed': 'kyunke hardwork ka phal milne wala hai', 'gussa': 'kyunke koi baar baar tang kar raha tha'}"
"Aaj mein presentation deni thi, is liye mein ghabrahat mehsoos kar raha hoon.",['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke presentation deni thi'}
"Mujhe lagta hai ke ghar ki yaad aayi, aur is wajah se udaasi ho rahi hai. naye moka mila ke baad mera dil umeed se bhar gaya.","['udaasi', 'umeed']","udaasi 😞, umeed 🌈","{'udaasi': 'kyunke ghar ki yaad aayi', 'umeed': 'kyunke naye moka mila'}"
Waqt guzarta gaya aur kisi ka reply nahi aaya ki wajah se bechaini badhti gayi.,['bechaini'],bechaini 😟,{'bechaini': 'kyunke kisi ka reply nahi aaya'}
"Waqt guzarta gaya aur news bohat different thi ki wajah se hairani badhti gayi. Mujhe lagta hai ke kisi ne ignore kiya, aur is wajah se udaasi ho rahi hai.","['hairani', 'udaasi']","hairani 😮, udaasi 😞","{'hairani': 'kyunke news bohat different thi', 'udaasi': 'kyunke kisi ne ignore kiya'}"
"Pehli baar result ka intezar tha aur uss lamhe mein mujhe ghabrahat mehsoos hui. Aaj mein purani diary mili, is liye mein jazbaat mein aana mehsoos kar raha hoon.","['ghabrahat', 'jazbaat mein aana']","ghabrahat 😰, jazbaat mein aana 🥺","{'ghabrahat': 'kyunke result ka intezar tha', 'jazbaat mein aana': 'kyunke purani diary mili'}"
mohabbat ka sabab yeh tha ke dil uski taraf khinchta hai. ghabrahat ka sabab yeh tha ke result ka intezar tha.,"['mohabbat', 'ghabrahat']","mohabbat ❤️, ghabrahat 😰","{'mohabbat': 'kyunke dil uski taraf khinchta hai', 'ghabrahat': 'kyunke result ka intezar tha'}"
"Mein support system strong hai ke baare mein soch raha tha, is liye umeed mehsoos hui. dil se connect mehsoos hua ke baad mera dil mohabbat se bhar gaya.","['umeed', 'mohabbat']","umeed 🌈, mohabbat ❤️","{'umeed': 'kyunke support system strong hai', 'mohabbat': 'kyunke dil se connect mehsoos hua'}"
"unexpected call aaya ke baad mera dil ghabrahat se bhar gaya. Mujhe lagta hai ke traffic bohat tha, aur is wajah se gussa ho rahi hai.","['ghabrahat', 'gussa']","ghabrahat 😰, gussa 😠","{'ghabrahat': 'kyunke unexpected call aaya', 'gussa': 'kyunke traffic bohat tha'}"
Pehli baar naye moka mila aur uss lamhe mein mujhe umeed mehsoos hui.,['umeed'],umeed 🌈,{'umeed': 'kyunke naye moka mila'}
Waqt guzarta gaya aur mehnat ki hai ki wajah se umeed badhti gayi.,['umeed'],umeed 🌈,{'umeed': 'kyunke mehnat ki hai'}
gussa ka sabab yeh tha ke traffic bohat tha.,['gussa'],gussa 😠,{'gussa': 'kyunke traffic bohat tha'}
gham tab mehsoos hui jab best friend ne city chhor di.,['gham'],gham 😢,{'gham': 'kyunke best friend ne city chhor di'}
"Mein traffic bohat tha ke baare mein soch raha tha, is liye gussa mehsoos hui.",['gussa'],gussa 😠,{'gussa': 'kyunke traffic bohat tha'}
kisi ne dil ki baat boli ke baad mera dil jazbaat mein aana se bhar gaya.,['jazbaat mein aana'],jazbaat mein aana 🥺,{'jazbaat mein aana': 'kyunke kisi ne dil ki baat boli'}
"Jab se dil uski taraf khinchta hai, mein mohabbat mehsoos kar raha hoon. Mein kisi ka reply nahi aaya ke baare mein soch raha tha, is liye bechaini mehsoos hui.","['mohabbat', 'bechaini']","mohabbat ❤️, bechaini 😟","{'mohabbat': 'kyunke dil uski taraf khinchta hai', 'bechaini': 'kyunke kisi ka reply nahi aaya'}"
"Aaj mein family surprise party di, is liye mein khushi mehsoos kar raha hoon. Aaj mein kisi ne propose kiya, is liye mein hairani mehsoos kar raha hoon.","['khushi', 'hairani']","khushi 😊, hairani 😮","{'khushi': 'kyunke family surprise party di', 'hairani': 'kyunke kisi ne propose kiya'}"
mohabbat tab mehsoos hui jab dil uski taraf khinchta hai.,['mohabbat'],mohabbat ❤️,{'mohabbat': 'kyunke dil uski taraf khinchta hai'}
"Jab se mujhe kuch samaj nahi aa raha tha, mein bechaini mehsoos kar raha hoon. kisi ne ignore kiya ke baad mera dil udaasi se bhar gaya.","['bechaini', 'udaasi']","bechaini 😟, udaasi 😞","{'bechaini': 'kyunke mujhe kuch samaj nahi aa raha tha', 'udaasi': 'kyunke kisi ne ignore kiya'}"
mujhe kuch samaj nahi aa raha tha ke baad mera dil bechaini se bhar gaya.,['bechaini'],bechaini 😟,{'bechaini': 'kyunke mujhe kuch samaj nahi aa raha tha'}
"Aaj mein acha response mila, is liye mein umeed mehsoos kar raha hoon. Kal emotional gana suna tha, aur mujhe jazbaat mein aana ka ehsaas hua.","['umeed', 'jazbaat mein aana']","umeed 🌈, jazbaat mein aana 🥺","{'umeed': 'kyunke acha response mila', 'jazbaat mein aana': 'kyunke emotional gana suna'}"
Waqt guzarta gaya aur old memories yaad aayi ki wajah se jazbaat mein aana badhti gayi.,['jazbaat mein aana'],jazbaat mein aana 🥺,{'jazbaat mein aana': 'kyunke old memories yaad aayi'}
"woh har baat samajh leti hai ke baad mera dil mohabbat se bhar gaya. Aaj mein birthday par sab ne wish kiya, is liye mein khushi mehsoos kar raha hoon.","['mohabbat', 'khushi']","mohabbat ❤️, khushi 😊","{'mohabbat': 'kyunke woh har baat samajh leti hai', 'khushi': 'kyunke birthday par sab ne wish kiya'}"
Pehli baar uski aankhon mein kuch baat thi aur uss lamhe mein mujhe mohabbat mehsoos hui. Waqt guzarta gaya aur raat bhar neend nahi aayi ki wajah se bechaini badhti gayi.,"['mohabbat', 'bechaini']","mohabbat ❤️, bechaini 😟","{'mohabbat': 'kyunke uski aankhon mein kuch baat thi', 'bechaini': 'kyunke raat bhar neend nahi aayi'}"
"Aaj mein interview tha, is liye mein ghabrahat mehsoos kar raha hoon.",['ghabrahat'],ghabrahat 😰,{'ghabrahat': 'kyunke interview tha'}
"gussa ka sabab yeh tha ke koi baar baar tang kar raha tha. Mein birthday par sab ne wish kiya ke baare mein soch raha tha, is liye khushi mehsoos hui.","['gussa', 'khushi']","gussa 😠, khushi 😊","{'gussa': 'kyunke koi baar baar tang kar raha tha', 'khushi': 'kyunke birthday par sab ne wish kiya'}"
"jazbaat mein aana ka sabab yeh tha ke film emotional thi. Kal result ka intezar tha tha, aur mujhe ghabrahat ka ehsaas hua.","['jazbaat mein aana', 'ghabrahat']","jazbaat mein aana 🥺, ghabrahat 😰","{'jazbaat mein aana': 'kyunke film emotional thi', 'ghabrahat': 'kyunke result ka intezar tha'}"
"Waqt guzarta gaya aur kisi ne ignore kiya ki wajah se udaasi badhti gayi. Jab se koi reply nahi de raha tha, mein bechaini mehsoos kar raha hoon.","['udaasi', 'bechaini']","udaasi 😞, bechaini 😟","{'udaasi': 'kyunke kisi ne ignore kiya', 'bechaini': 'kyunke koi reply nahi de raha tha'}"
"Jab se interview cancel hogaya, mein bechaini mehsoos kar raha hoon.",['bechaini'],bechaini 😟,{'bechaini': 'kyunke interview cancel hogaya'}
"Aaj mein naye moka mila, is liye mein umeed mehsoos kar raha hoon. Aaj mein dost ne achanak gift diya, is liye mein hairani mehsoos kar raha hoon.","['umeed', 'hairani']","umeed 🌈, hairani 😮","{'umeed': 'kyunke naye moka mila', 'hairani': 'kyunke dost ne achanak gift diya'}"
"Kal mujhe kuch samaj nahi aa raha tha tha, aur mujhe bechaini ka ehsaas hua. ghabrahat ka sabab yeh tha ke paper mushkil tha.","['bechaini', 'ghabrahat']","bechaini 😟, ghabrahat 😰","{'bechaini': 'kyunke mujhe kuch samaj nahi aa raha tha', 'ghabrahat': 'kyunke paper mushkil tha'}"
"Jab se kisi ne bura kaha, mein gham mehsoos kar raha hoon. bechaini ka sabab yeh tha ke koi reply nahi de raha tha.","['gham', 'bechaini']","gham 😢, bechaini 😟","{'gham': 'kyunke kisi ne bura kaha', 'bechaini': 'kyunke koi reply nahi de raha tha'}"
"Aaj mein interview tha, is liye mein ghabrahat mehsoos kar raha hoon. Mujhe lagta hai ke dil se connect mehsoos hua, aur is wajah se mohabbat ho rahi hai.","['ghabrahat', 'mohabbat']","ghabrahat 😰, mohabbat ❤️","{'ghabrahat': 'kyunke interview tha', 'mohabbat': 'kyunke dil se connect mehsoos hua'}"
jazbaat mein aana ka sabab yeh tha ke emotional gana suna.,['jazbaat mein aana'],jazbaat mein aana 🥺,{'jazbaat mein aana': 'kyunke emotional gana suna'}
"Mein kisi ne propose kiya ke baare mein soch raha tha, is liye hairani mehsoos hui. Mein network baar baar ja raha tha ke baare mein soch raha tha, is liye gussa mehsoos hui.","['hairani', 'gussa']","hairani 😮, gussa 😠","{'hairani': 'kyunke kisi ne propose kiya', 'gussa': 'kyunke network baar baar ja raha tha'}"
udaasi ka sabab yeh tha ke ghar ki yaad aayi.,['udaasi'],udaasi 😞,{'udaasi': 'kyunke ghar ki yaad aayi'}
"Aaj mein mein ne apna goal achieve kiya, is liye mein khushi mehsoos kar raha hoon.",['khushi'],khushi 😊,{'khushi': 'kyunke mein ne apna goal achieve kiya'}
"Jab se unexpected result aaya, mein hairani mehsoos kar raha hoon. gussa ka sabab yeh tha ke koi baar baar tang kar raha tha.","['hairani', 'gussa']","hairani 😮, gussa 😠","{'hairani': 'kyunke unexpected result aaya', 'gussa': 'kyunke koi baar baar tang kar raha tha'}"
Pehli baar kisi ne ignore kiya aur uss lamhe mein mujhe udaasi mehsoos hui.,['udaasi'],udaasi 😞,{'udaasi': 'kyunke kisi ne ignore kiya'}
"Waqt guzarta gaya aur pet mar gaya ki wajah se gham badhti gayi. Mein mera naam announce hua ke baare mein soch raha tha, is liye hairani mehsoos hui.","['gham', 'hairani']","gham 😢, hairani 😮","{'gham': 'kyunke pet mar gaya', 'hairani': 'kyunke mera naam announce hua'}"
"Mein kisi ne baat ka bura manaya ke baare mein soch raha tha, is liye gussa mehsoos hui.",['gussa'],gussa 😠,{'gussa': 'kyunke kisi ne baat ka bura manaya'}
"Mein kisi apne ne dhoka diya ke baare mein soch raha tha, is liye gham mehsoos hui. Mein unexpected call aaya ke baare mein soch raha tha, is liye ghabrahat mehsoos hui.","['gham', 'ghabrahat']","gham 😢, ghabrahat 😰","{'gham': 'kyunke kisi apne ne dhoka diya', 'ghabrahat': 'kyunke unexpected call aaya'}"
